ISO code,Country,Variable code,Variable name,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,ctfp,TFP level at current PPPs (USA=1),,,,,,,,,,,,,,,,,,,,,0.628161132335663,0.572971940040588,0.528636932373047,0.534493744373322,0.465494215488434,0.46958515048027,0.470326393842697,0.446576505899429,0.439199239015579,0.412674754858017,0.418728917837143,0.422347128391266,0.357109129428864,0.383968979120255,0.343303143978119,0.348608434200287,0.353401750326157,0.284420430660248,0.325480222702026,0.249030992388725,0.238681048154831,0.186591699719429,0.201033696532249,0.189832031726837,0.180384919047356,0.164660051465034,0.139858245849609,0.146253809332848,0.167584434151649,0.175889045000076,0.209705844521523,0.277228027582169,0.342992752790451,0.353546321392059,0.38019323348999,0.249806419014931,0.305679142475128,0.367835521697998,0.397338151931763,0.406076341867447,0.414355665445328,0.375301837921143,0.360747039318085,0.342038720846176,0.373760253190994,0.378380089998245,0.430286347866058,0.485366493463516,0.499810844659805,0.483324706554413
ALB,Albania,ctfp,TFP level at current PPPs (USA=1),,,,,,,,,,,,,,,,,,,,,0.427688628435135,0.430941879749298,0.417469799518585,0.412036180496216,0.406790971755981,0.400164067745209,0.425938844680786,0.406637221574783,0.390560805797577,0.376561105251312,0.355082541704178,0.341090261936188,0.330371707677841,0.321394562721252,0.303571373224258,0.308968633413315,0.305903196334839,0.297097444534302,0.296829611063004,0.328586995601654,0.326566636562347,0.367371767759323,0.388060986995697,0.33295676112175,0.295344144105911,0.313592433929443,0.337635397911072,0.363166362047195,0.384209185838699,0.409953713417053,0.419429928064346,0.449575483798981,0.458577752113342,0.472023159265518,0.527487874031067,0.544203877449036,0.521304607391357,0.55390864610672,0.518776535987854,0.494323521852493,0.511781990528107,0.570814192295075,0.566006183624268,0.575157582759857,0.458097010850906,0.466369271278381,0.472896218299866,0.47683522105217,0.475973457098007,0.478221118450165
ARG,Argentina,ctfp,TFP level at current PPPs (USA=1),0.716151475906372,0.713897585868835,0.698377430438995,0.70762026309967,0.740639448165894,0.67246025800705,0.684322774410248,0.672287285327911,0.653266549110413,0.611697614192963,0.613199234008789,0.661006450653076,0.647745549678803,0.655133485794067,0.647933304309845,0.684190511703491,0.68274849653244,0.668726205825806,0.649270236492157,0.657602965831757,0.706690967082977,0.680322051048279,0.656575500965118,0.667242527008057,0.638216614723206,0.662425994873047,0.661918163299561,0.645732283592224,0.668725967407227,0.683362066745758,0.680708646774292,0.631727933883667,0.649667680263519,0.642511487007141,0.629639148712158,0.56644880771637,0.583794295787811,0.619095087051392,0.638968765735626,0.653640866279602,0.676241397857666,0.709930062294006,0.844115674495697,0.821412801742554,0.777108013629913,0.726413130760193,0.720259726047516,0.697821199893951,0.622472107410431,0.660173118114471,0.685913980007172,0.714885830879211,0.757045924663544,0.789416372776032,0.803120791912079,0.743250370025635,0.78742116689682,0.838328540325165,0.83201140165329,0.821349442005158,0.794062674045563,0.802109777927399,0.823163986206055,0.884693741798401,0.886977910995483,0.820132553577423,0.804938912391663,0.79136860370636,0.847752034664154,0.783209979534149
ARM,Armenia,ctfp,TFP level at current PPPs (USA=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203174293041229,0.203438699245453,0.222309157252312,0.239955052733421,0.217207297682762,0.248819425702095,0.264570713043213,0.287630259990692,0.353809177875519,0.406143128871918,0.43770694732666,0.486897349357605,0.548930168151856,0.60657662153244,0.594290792942047,0.583509027957916,0.612655162811279,0.654771327972412,0.69817066192627,0.591112732887268,0.616058349609375,0.637780606746674,0.704070329666138,0.796290636062622,0.685115873813629,0.708727419376373,0.643082737922669,0.562610566616058,0.598663926124573,0.62609738111496
AUS,Australia,ctfp,TFP level at current PPPs (USA=1),0.819580972194672,0.800389468669891,0.786620676517487,0.76495087146759,0.814290881156921,0.816379487514496,0.768373847007752,0.772482216358185,0.787664711475372,0.818157553672791,0.8189737200737,0.803748548030853,0.826775372028351,0.822969019412994,0.842365145683289,0.870336830615997,0.873914122581482,0.864580392837524,0.859824359416962,0.835224211215973,0.783916831016541,0.819081604480743,0.835007011890411,0.827624082565308,0.854596316814423,0.87203985452652,0.898731589317322,0.907112777233124,0.893043041229248,0.920488357543945,0.88577675819397,0.873931288719177,0.843370497226715,0.873962223529816,0.872162282466888,0.866509079933167,0.846474409103394,0.841777265071869,0.857876479625702,0.848871052265167,0.84334659576416,0.85146689414978,0.860539019107819,0.8702073097229,0.862781822681427,0.864863276481628,0.864831745624542,0.887340366840363,0.900502145290375,0.89734011888504,0.888430297374725,0.895052254199982,0.879733085632324,0.867502868175507,0.874323546886444,0.876460731029511,0.922896981239319,0.948427200317383,0.908781349658966,0.842362225055695,0.837970674037933,0.816249191761017,0.846972525119782,0.866683840751648,0.874863684177399,0.848566651344299,0.856350362300873,0.858133256435394,0.877721846103668,0.846968114376068
AUT,Austria,ctfp,TFP level at current PPPs (USA=1),0.680975198745728,0.690921127796173,0.71785706281662,0.730917274951935,0.759310364723206,0.761275172233582,0.77207338809967,0.788410365581513,0.791172385215759,0.804564535617828,0.814846336841583,0.818657994270325,0.834195137023926,0.8555748462677,0.87120521068573,0.901388943195343,0.945773839950562,0.949960470199585,0.953965187072754,0.964666426181793,0.966271162033081,0.997001171112061,0.986122965812683,0.98377138376236,0.981234729290009,0.981259524822235,0.976185202598572,0.959474563598633,0.951410830020905,0.920064866542816,0.858791947364807,0.845003128051758,0.847352862358093,0.856672823429108,0.86892968416214,0.877581715583801,0.873798966407776,0.892413377761841,0.88127613067627,0.880434930324554,0.900354743003845,0.930654466152191,0.902523219585419,0.932166457176209,0.96235191822052,0.97514796257019,1.00545835494995,1.00837230682373,1.03446102142334,1.00063538551331,0.991814136505127,0.993765890598297,0.989729821681976,0.983575105667114,0.9538853764534,0.919621765613556,0.881296217441559,0.868710219860077,0.86839497089386,0.837715744972229,0.859169781208038,0.867447853088379,0.867824137210846,0.867948532104492,0.870059967041016,0.899388074874878,0.888662934303284,0.880548596382141,0.917000830173492,0.892035782337189
BDI,Burundi,ctfp,TFP level at current PPPs (USA=1),,,,,,,,,,,,,,,,,,,,,,,,,,,0.27478438615799,0.282278299331665,0.275320291519165,0.262861311435699,0.245499148964882,0.252951502799988,0.262107402086258,0.252956718206406,0.270823419094086,0.246415480971336,0.301366865634918,0.321373999118805,0.300138026475906,0.248824402689934,0.250283002853394,0.224580317735672,0.204017639160156,0.16027657687664,0.161120250821114,0.131398320198059,0.160236790776253,0.152268260717392,0.167897209525108,0.148670762777329,0.143196254968643,0.169794678688049,0.153501868247986,0.148118749260902,0.158933833241463,0.159186959266663,0.163709864020348,0.178278923034668,0.188886657357216,0.213120773434639,0.217298373579979,0.213979259133339,0.21565654873848,0.21207369863987,0.209404170513153,0.228578925132751,0.228753015398979,0.213380664587021,0.214523211121559,0.21098604798317
BEL,Belgium,ctfp,TFP level at current PPPs (USA=1),0.720560312271118,0.722244024276733,0.730099558830261,0.721826612949371,0.727986574172974,0.731691062450409,0.708782196044922,0.734833478927612,0.76693069934845,0.780374884605408,0.809555172920227,0.817874312400818,0.816341400146484,0.844002366065979,0.861535489559174,0.892153739929199,0.931256651878357,0.93282425403595,0.971891224384308,0.997928202152252,1.00277507305145,0.990298449993134,1.0389701128006,1.02630937099457,1.05310690402985,1.10839009284973,1.19675302505493,1.13307631015778,1.14812505245209,1.11442148685455,1.05860030651093,1.00094246864319,1.01143181324005,1.0470517873764,1.07973301410675,1.08113062381744,1.06632828712463,1.09612679481506,1.09872758388519,1.10347270965576,1.13844704627991,1.12716615200043,1.09118914604187,1.14654076099396,1.16476821899414,1.16759479045868,1.20071315765381,1.21113502979279,1.24791812896729,1.17406392097473,1.13118517398834,1.10927700996399,1.0412802696228,1.02146351337433,1.00614964962006,1.00940072536469,0.954986453056335,0.932741522789002,0.925726234912872,0.906607449054718,0.91189169883728,0.915801405906677,0.926135778427124,0.899227261543274,0.869722306728363,0.900100409984589,0.908985912799835,0.911163151264191,0.914893209934235,0.916127026081085
BEN,Benin,ctfp,TFP level at current PPPs (USA=1),,,,,,,,,,,,,,,,,,,,,,,,,,,0.742336213588715,0.905633687973023,0.623203754425049,0.585094153881073,0.590755224227905,0.644960224628449,0.546464085578919,0.480588734149933,0.465634703636169,0.395042687654495,0.3783358335495,0.370270967483521,0.339362919330597,0.315479040145874,0.265927970409393,0.282426029443741,0.30730551481247,0.349172413349152,0.370830565690994,0.41456612944603,0.439571142196655,0.457353413105011,0.480532377958298,0.489198416471481,0.507248282432556,0.512521803379059,0.511563658714294,0.520548641681671,0.513566911220551,0.495010852813721,0.479668915271759,0.468197673559189,0.488771796226501,0.493314325809479,0.498994916677475,0.49667152762413,0.505462229251862,0.481363922357559,0.462201088666916,0.473179936408997,0.453812479972839,0.429671496152878,0.420700788497925,0.404852330684662
BFA,Burkina Faso,ctfp,TFP level at current PPPs (USA=1),,,,,,,,,,0.650633811950684,0.66033536195755,0.634809136390686,0.618955731391907,0.676852583885193,0.67722088098526,0.67406564950943,0.641762018203735,0.539492070674896,0.637870371341705,0.564304351806641,0.629739582538605,0.602860569953919,0.58118349313736,0.622208595275879,0.66296261548996,0.629123628139496,0.608200132846832,0.585574328899384,0.561933398246765,0.496259242296219,0.445356041193008,0.44021213054657,0.458268284797668,0.421336859464645,0.418569177389145,0.398309528827667,0.376364886760712,0.384223461151123,0.360096216201782,0.358911514282227,0.298186480998993,0.325334459543228,0.341095328330994,0.349868714809418,0.348385363817215,0.366940438747406,0.378762304782867,0.389474838972092,0.394481867551804,0.41828989982605,0.435764312744141,0.440394163131714,0.456747084856033,0.448942214250565,0.404554039239883,0.391916513442993,0.391703456640244,0.397331446409225,0.417691856622696,0.407782077789307,0.394160389900208,0.40824881196022,0.431644797325134,0.426296293735504,0.413562506437302,0.437025040388107,0.465940535068512,0.443271517753601,0.447022289037704,0.432152509689331
